theta,h
1.000000000000000021e-08,-8.466708506980709904e-06
4.986655973952052595e-02,-8.438675272818381494e-06
9.973310947904104329e-02,-8.218648890412398817e-06
1.495996592185615537e-01,-7.881423735437606719e-06
1.994662089580820918e-01,-7.459871167397900133e-06
2.493327586976026300e-01,-6.977352099914446907e-06
2.991993084371231126e-01,-6.460160034247662345e-06
3.490658581766436508e-01,-5.938125814463154007e-06
3.989324079161641889e-01,-5.439017455734810652e-06
4.487989576556847271e-01,-4.977654864456018361e-06
4.986655073952052653e-01,-4.554976440610153081e-06
5.485320571347258589e-01,-4.166097849046417348e-06
5.983986068742462860e-01,-3.805405179181425843e-06
6.482651566137668242e-01,-3.467190572801259839e-06
6.981317063532873624e-01,-3.144141064742149924e-06
7.479982560928079005e-01,-2.826243874603456611e-06
7.978648058323284387e-01,-2.514012046484400203e-06
8.477313555718489768e-01,-2.258501152161451684e-06
8.975979053113695150e-01,-2.072897439232082171e-06
9.474644550508900531e-01,-1.699894808510468040e-06
9.973310047904105913e-01,-7.919128243102708441e-07
1.047197554529931018e+00,-6.444042035396867720e-06
1.097064104269451557e+00,-6.783505648936077804e-06
1.146930654008972095e+00,-6.629091724005912109e-06
1.196797203748492411e+00,-6.343864139761645232e-06
1.246663753488012949e+00,-5.984016090991105135e-06
1.296530303227533487e+00,-5.602762871951647925e-06
1.346396852967054025e+00,-5.256691801133582401e-06
1.396263402706574563e+00,-4.943728238679949702e-06
1.446129952446095102e+00,-4.654068924690309378e-06
1.495996502185615640e+00,-4.362694542824116964e-06
1.545863051925136178e+00,-3.989497028070670819e-06
1.595729601664656716e+00,-3.230139291631995542e-06
1.645596151404177254e+00,6.894454457746829036e-07
1.695462701143697792e+00,1.175173039507789390e-06
1.745329250883218331e+00,1.190719063814265584e-06
1.795195800622738869e+00,1.205918203874597339e-06
1.845062350362259407e+00,1.227737998338460070e-06
1.894928900101779945e+00,1.252810415504701064e-06
1.944795449841300483e+00,1.280120594292918593e-06
1.994661999580821021e+00,1.311172238948023123e-06
2.044528549320341337e+00,1.343493611348399413e-06
2.094395099059862098e+00,1.376980256767885409e-06
2.144261648799382414e+00,1.413251809406574415e-06
2.194128198538903174e+00,1.453261699188132582e-06
2.243994748278423490e+00,1.497944829698631689e-06
2.293861298017944250e+00,1.548368605908583664e-06
2.343727847757464566e+00,1.605490055081743073e-06
2.393594397496984882e+00,1.669938894140763477e-06
2.443460947236505643e+00,1.741954950128731287e-06
2.493327496976025959e+00,1.821443618812829841e-06
2.543194046715546719e+00,1.908063945006962999e-06
2.593060596455067035e+00,2.001303362551871109e-06
2.642927146194587795e+00,2.100520353490559212e-06
2.692793695934108111e+00,2.204951039585704666e-06
2.742660245673628872e+00,2.313677422015720529e-06
2.792526795413149188e+00,2.425541004288812813e-06
2.842393345152669948e+00,2.538960516570744443e-06
2.892259894892190264e+00,2.651571934346374848e-06
2.942126444631711024e+00,2.759572008291713394e-06
2.991992994371231340e+00,2.856801964810210561e-06
3.041859544110752100e+00,2.934133291601309698e-06
3.091726093850272417e+00,2.980818301089987203e-06
3.141592643589793177e+00,2.991317233933331412e-06
