theta,h
1.000000000000000021e-08,1.715208277351399468e+00
3.173326892514943126e-02,1.715297780722975673e+00
6.346652785029885391e-02,1.715460752346091189e+00
9.519978677544828349e-02,1.715715591213962332e+00
1.269330457005977131e-01,1.716066045845651367e+00
1.586663046257471565e-01,1.716513265475344330e+00
1.903995635508965723e-01,1.717057676971615043e+00
2.221328224760459880e-01,1.717699396598002082e+00
2.538660814011954314e-01,1.718438344571427079e+00
2.855993403263448749e-01,1.719274274370634847e+00
3.173325992514943183e-01,1.720206769549214476e+00
3.490658581766437063e-01,1.721235225071865438e+00
3.807991171017931498e-01,1.722358819863035739e+00
4.125323760269425932e-01,1.723576483689806649e+00
4.442656349520919812e-01,1.724886860111701781e+00
4.759988938772414246e-01,1.726288266662951987e+00
5.077321528023909236e-01,1.727778653205207071e+00
5.394654117275403671e-01,1.729355559329825098e+00
5.711986706526898105e-01,1.731016071689501556e+00
6.029319295778392540e-01,1.732756782194495360e+00
6.346651885029886975e-01,1.734573748066053911e+00
6.663984474281380299e-01,1.736462454817501166e+00
6.981317063532874734e-01,1.738417783282593332e+00
7.298649652784369168e-01,1.740433981873372282e+00
7.615982242035863603e-01,1.742504645258142526e+00
7.933314831287358038e-01,1.744622700665367176e+00
8.250647420538852472e-01,1.746780402965851575e+00
8.567980009790346907e-01,1.748969339620533914e+00
8.885312599041840231e-01,1.751180446451576111e+00
9.202645188293334666e-01,1.753404035040508679e+00
9.519977777544829101e-01,1.755629832339876684e+00
9.837310366796323535e-01,1.757847032843073753e+00
1.015464295604781686e+00,1.760044363366187747e+00
1.047197554529931018e+00,1.762210160188026675e+00
1.078930813455080573e+00,1.764332457963712297e+00
1.110664072380229905e+00,1.766399089496486052e+00
1.142397331305379460e+00,1.768397795122009342e+00
1.174130590230528792e+00,1.770316340162944035e+00
1.205863849155678347e+00,1.772142638640159529e+00
1.237597108080827679e+00,1.773864881203508270e+00
1.269330367005977234e+00,1.775471665080308847e+00
1.301063625931126566e+00,1.776952123732933098e+00
1.332796884856275899e+00,1.778296053873544169e+00
1.364530143781425453e+00,1.779494037505798376e+00
1.396263402706574785e+00,1.780537556747571193e+00
1.427996661631724340e+00,1.781419099313081622e+00
1.459729920556873672e+00,1.782132252727520516e+00
1.491463179482023227e+00,1.782671785560465905e+00
1.523196438407172559e+00,1.783033714211230247e+00
1.554929697332321892e+00,1.783215354055935231e+00
1.586662956257471446e+00,1.783215354055313284e+00
1.618396215182620779e+00,1.783033714209724563e+00
1.650129474107770333e+00,1.782671785558093136e+00
1.681862733032919666e+00,1.782132252724016652e+00
1.713595991958069220e+00,1.781419099308436671e+00
1.745329250883218553e+00,1.780537556741764948e+00
1.777062509808367885e+00,1.779494037499149472e+00
1.808795768733517439e+00,1.778296053865600523e+00
1.840529027658666772e+00,1.776952123723895216e+00
1.872262286583816326e+00,1.775471665070016858e+00
1.903995545508965659e+00,1.773864881191455023e+00
1.935728804434115213e+00,1.772142638626304167e+00
1.967462063359264546e+00,1.770316340146837808e+00
1.999195322284414100e+00,1.768397795103531234e+00
2.030928581209563433e+00,1.766399089475799489e+00
2.062661840134712765e+00,1.764332457940523735e+00
2.094395099059862098e+00,1.762210160161803651e+00
2.126128357985011874e+00,1.760044363337327722e+00
2.157861616910161207e+00,1.757847032812193122e+00
2.189594875835310539e+00,1.755629832307496585e+00
2.221328134760459871e+00,1.753404035006929540e+00
2.253061393685609648e+00,1.751180446416180647e+00
2.284794652610758980e+00,1.748969339582787663e+00
2.316527911535908313e+00,1.746780402925446340e+00
2.348261170461057645e+00,1.744622700622060263e+00
2.379994429386206978e+00,1.742504645212353820e+00
2.411727688311356754e+00,1.740433981825590726e+00
2.443460947236506087e+00,1.738417783233014324e+00
2.475194206161655419e+00,1.736462454765893781e+00
2.506927465086804752e+00,1.734573748012811389e+00
2.538660724011954528e+00,1.732756782138748841e+00
2.570393982937103861e+00,1.731016071631621855e+00
2.602127241862253193e+00,1.729355559269603271e+00
2.633860500787402525e+00,1.727778653142636234e+00
2.665593759712551858e+00,1.726288266597975962e+00
2.697327018637701634e+00,1.724886860044296588e+00
2.729060277562850967e+00,1.723576483619289279e+00
2.760793536488000299e+00,1.722358819789718165e+00
2.792526795413149632e+00,1.721235224995493862e+00
2.824260054338298964e+00,1.720206769469523556e+00
2.855993313263448741e+00,1.719274274287313720e+00
2.887726572188598073e+00,1.718438344484148006e+00
2.919459831113747406e+00,1.717699396506060960e+00
2.951193090038896738e+00,1.717057676873921634e+00
2.982926348964046515e+00,1.716513265370685826e+00
3.014659607889195847e+00,1.716066045732624001e+00
3.046392866814345179e+00,1.715715591090347880e+00
3.078126125739494512e+00,1.715460752207675688e+00
3.109859384664643844e+00,1.715297780559255747e+00
3.141592643589793177e+00,1.715208277120751523e+00
