theta,h
1.000000000000000021e-08,5.000000054295737906e-01
1.578690765623011819e-02,5.000000054076281231e-01
3.157380531246023470e-02,5.000000052314187426e-01
4.736070296869034774e-02,5.000000051299607895e-01
6.314760062492046078e-02,5.000000049381555511e-01
7.893449828115058076e-02,5.000000047015561444e-01
9.472139593738068686e-02,5.000000042636185693e-01
1.105082935936108068e-01,5.000000040202101648e-01
1.262951912498409268e-01,5.000000035865590498e-01
1.420820889060710468e-01,5.000000033271196909e-01
1.578689865623011668e-01,5.000000033001862354e-01
1.736558842185312868e-01,5.000000030750835212e-01
1.894427818747613790e-01,5.000000029196410845e-01
2.052296795309914990e-01,5.000000028731265145e-01
2.210165771872216189e-01,5.000000028953793807e-01
2.368034748434517389e-01,5.000000029189420880e-01
2.525903724996818589e-01,5.000000028716395928e-01
2.683772701559119511e-01,5.000000028588212908e-01
2.841641678121420989e-01,5.000000027944232484e-01
2.999510654683721911e-01,5.000000027472307762e-01
3.157379631246023388e-01,5.000000028204888425e-01
3.315248607808324310e-01,5.000000028984720180e-01
3.473117584370625788e-01,5.000000030172372378e-01
3.630986560932926710e-01,5.000000028934359353e-01
3.788855537495227632e-01,5.000000028700594124e-01
3.946724514057529110e-01,5.000000029786147993e-01
4.104593490619830032e-01,5.000000032800637761e-01
4.262462467182131509e-01,5.000000036395576553e-01
4.420331443744432431e-01,5.000000040414499525e-01
4.578200420306733909e-01,5.000000043531672711e-01
4.736069396869034831e-01,5.000000046468373593e-01
4.893938373431336308e-01,5.000000047844265216e-01
5.051807349993637786e-01,5.000000050194952639e-01
5.209676326555938708e-01,5.000000052281187157e-01
5.367545303118239630e-01,5.000000053212975137e-01
5.525414279680541663e-01,5.000000053571569403e-01
5.683283256242842585e-01,5.000000054071324085e-01
5.841152232805143507e-01,5.000000054761317703e-01
5.999021209367444429e-01,5.000000055495700257e-01
6.156890185929746462e-01,5.000000056930702375e-01
6.314759162492047384e-01,5.000000058406990355e-01
6.472628139054348306e-01,5.000000060623744913e-01
6.630497115616649229e-01,5.000000062891505337e-01
6.788366092178950151e-01,5.000000063435733333e-01
6.946235068741252183e-01,5.000000063359526514e-01
7.104104045303553105e-01,5.000000063396921046e-01
7.261973021865854028e-01,5.000000062341399820e-01
7.419841998428154950e-01,5.000000061790509376e-01
7.577710974990455872e-01,5.000000062867672179e-01
7.735579951552757905e-01,5.000000063054987898e-01
7.893448928115058827e-01,5.000000062633398468e-01
