theta,h
1.000000000000000021e-08,5.065863695622565555e-01
1.578690765623011819e-02,5.065863700781330081e-01
3.157380531246023470e-02,5.065863783801898279e-01
4.736070296869034774e-02,5.065867688972127691e-01
6.314760062492046078e-02,5.065862852936309224e-01
7.893449828115058076e-02,5.065856177915152303e-01
9.472139593738068686e-02,5.065848056322068693e-01
1.105082935936108068e-01,5.065838477230277803e-01
1.262951912498409268e-01,5.065826296445128385e-01
1.420820889060710468e-01,5.065809403812067124e-01
1.578689865623011668e-01,5.065787816506757135e-01
1.736558842185312868e-01,5.065762301544347590e-01
1.894427818747613790e-01,5.065736424655352677e-01
2.052296795309914990e-01,5.065716244531057733e-01
2.210165771872216189e-01,5.065696041167995212e-01
2.368034748434517389e-01,5.065678413703864624e-01
2.525903724996818589e-01,5.065656280125777622e-01
2.683772701559119511e-01,5.065624787047970923e-01
2.841641678121420989e-01,5.065584186072253914e-01
2.999510654683721911e-01,5.065541809079329161e-01
3.157379631246023388e-01,5.065498500994540798e-01
3.315248607808324310e-01,5.065450614729185563e-01
3.473117584370625788e-01,5.065394511100079766e-01
3.630986560932926710e-01,5.065330690566378635e-01
3.788855537495227632e-01,5.065261674516166046e-01
3.946724514057529110e-01,5.065186960832861462e-01
4.104593490619830032e-01,5.065111742363247460e-01
4.262462467182131509e-01,5.065031382104403512e-01
4.420331443744432431e-01,5.064941414018058197e-01
4.578200420306733909e-01,5.064837406730924307e-01
4.736069396869034831e-01,5.064722926166660422e-01
4.893938373431336308e-01,5.064589454023786796e-01
5.051807349993637786e-01,5.064435388983301589e-01
5.209676326555938708e-01,5.064266338411360646e-01
5.367545303118239630e-01,5.064077116278931090e-01
5.525414279680541663e-01,5.063878260052419034e-01
5.683283256242842585e-01,5.063667281131513098e-01
5.841152232805143507e-01,5.063445623410264274e-01
5.999021209367444429e-01,5.063214458940311635e-01
6.156890185929746462e-01,5.062977168748082901e-01
6.314759162492047384e-01,5.062731318072517528e-01
6.472628139054348306e-01,5.062483669497285232e-01
6.630497115616649229e-01,5.062230645315033417e-01
6.788366092178950151e-01,5.061973774263446302e-01
6.946235068741252183e-01,5.061712610774297127e-01
7.104104045303553105e-01,5.061443960514800944e-01
