theta,h
1.000000000000000021e-08,2.353488467738872547e+00
3.173326892514943126e-02,2.351104031450558463e+00
6.346652785029885391e-02,2.346765722857680370e+00
9.519978677544828349e-02,2.340012921626664966e+00
1.269330457005977131e-01,2.330796595300253848e+00
1.586663046257471565e-01,2.319155298218926298e+00
1.903995635508965723e-01,2.305162214762626949e+00
2.221328224760459880e-01,2.288911097268023553e+00
2.538660814011954314e-01,2.270510084517847638e+00
2.855993403263448749e-01,2.250077896558147827e+00
3.173325992514943183e-01,2.227741104193778021e+00
3.490658581766437063e-01,2.203632070522762998e+00
3.807991171017931498e-01,2.177887390865630657e+00
4.125323760269425932e-01,2.150646720654671551e+00
4.442656349520919812e-01,2.122051900679031267e+00
4.759988938772414246e-01,2.092246299380584151e+00
5.077321528023909236e-01,2.061374302263444758e+00
5.394654117275403671e-01,2.029580890008125582e+00
5.711986706526898105e-01,1.997011259250297321e+00
6.029319295778392540e-01,1.963810451957548331e+00
6.346651885029886975e-01,1.930122970427552875e+00
6.663984474281380299e-01,1.896092364398818342e+00
6.981317063532874734e-01,1.861860784904734389e+00
7.298649652784369168e-01,1.827568505896127071e+00
7.615982242035863603e-01,1.793353419703642704e+00
7.933314831287358038e-01,1.759350516052174074e+00
8.250647420538852472e-01,1.725691356798024767e+00
8.567980009790346907e-01,1.692503559836336269e+00
8.885312599041840231e-01,1.659910305990310198e+00
9.202645188293334666e-01,1.628029882099288672e+00
9.519977777544829101e-01,1.596975272154181225e+00
9.837310366796323535e-01,1.566853806440072994e+00
1.015464295604781686e+00,1.537766876127129700e+00
1.047197554529931018e+00,1.509809718048449989e+00
1.078930813455080573e+00,1.483071271548737746e+00
1.110664072380229905e+00,1.457634106385623074e+00
1.142397331305379460e+00,1.433574418024890385e+00
1.174130590230528792e+00,1.410962084317993970e+00
1.205863849155678347e+00,1.389860775610608501e+00
1.237597108080827679e+00,1.370328108915543019e+00
1.269330367005977234e+00,1.352415835875576233e+00
1.301063625931126566e+00,1.336170053918607215e+00
1.332796884856275899e+00,1.321631430158263232e+00
1.364530143781425453e+00,1.308835428193757755e+00
1.396263402706574785e+00,1.297812528947406507e+00
1.427996661631724340e+00,1.288588437868860570e+00
1.459729920556873672e+00,1.281184272162449789e+00
1.491463179482023227e+00,1.275616723029316724e+00
1.523196438407172559e+00,1.271898189158874537e+00
1.554929697332321892e+00,1.270036878831244165e+00
1.586662956257471446e+00,1.270036878835017591e+00
1.618396215182620779e+00,1.271898189169755833e+00
1.650129474107770333e+00,1.275616723047992007e+00
1.681862733032919666e+00,1.281184272188594653e+00
1.713595991958069220e+00,1.288588437899984562e+00
1.745329250883218553e+00,1.297812528985135661e+00
1.777062509808367885e+00,1.308835428236269749e+00
1.808795768733517439e+00,1.321631430202606650e+00
1.840529027658666772e+00,1.336170053963371851e+00
1.872262286583816326e+00,1.352415835917712528e+00
1.903995545508965659e+00,1.370328108955828794e+00
1.935728804434115213e+00,1.389860775649912839e+00
1.967462063359264546e+00,1.410962084357002988e+00
1.999195322284414100e+00,1.433574418063634948e+00
2.030928581209563433e+00,1.457634106428409293e+00
2.062661840134712765e+00,1.483071271599885277e+00
2.094395099059862098e+00,1.509809718109499821e+00
2.126128357985011874e+00,1.537766876198265686e+00
2.157861616910161207e+00,1.566853806520116743e+00
2.189594875835310539e+00,1.596975272237213028e+00
2.221328134760459871e+00,1.628029882182306931e+00
2.253061393685609648e+00,1.659910306071808783e+00
2.284794652610758980e+00,1.692503559910306432e+00
2.316527911535908313e+00,1.725691356866483561e+00
2.348261170461057645e+00,1.759350516115761209e+00
2.379994429386206978e+00,1.793353419766302581e+00
2.411727688311356754e+00,1.827568505960857070e+00
2.443460947236506087e+00,1.861860784969621152e+00
2.475194206161655419e+00,1.896092364457929502e+00
2.506927465086804752e+00,1.930122970479070332e+00
2.538660724011954528e+00,1.963810452002907825e+00
2.570393982937103861e+00,1.997011259291249230e+00
2.602127241862253193e+00,2.029580890052826714e+00
2.633860500787402525e+00,2.061374302308005113e+00
2.665593759712551858e+00,2.092246299426897327e+00
2.697327018637701634e+00,2.122051900727236706e+00
2.729060277562850967e+00,2.150646720701479442e+00
2.760793536488000299e+00,2.177887390901257270e+00
2.792526795413149632e+00,2.203632070540470167e+00
2.824260054338298964e+00,2.227741104191585553e+00
2.855993313263448741e+00,2.250077896536462063e+00
2.887726572188598073e+00,2.270510084480860336e+00
2.919459831113747406e+00,2.288911097217579460e+00
2.951193090038896738e+00,2.305162214697098477e+00
2.982926348964046515e+00,2.319155298134597754e+00
3.014659607889195847e+00,2.330796595172754504e+00
3.046392866814345179e+00,2.340012921431243953e+00
3.078126125739494512e+00,2.346765722570765877e+00
3.109859384664643844e+00,2.351104031012037687e+00
3.141592643589793177e+00,2.353488466901626719e+00
