theta,h
1.000000000000000021e-08,3.820033496628176817e-01
1.578690765623011819e-02,3.820081858044983014e-01
3.157380531246023470e-02,3.820169895761766909e-01
4.736070296869034774e-02,3.820307523049546461e-01
6.314760062492046078e-02,3.820496717252278573e-01
7.893449828115058076e-02,3.820738040555292647e-01
9.472139593738068686e-02,3.821031661479847297e-01
1.105082935936108068e-01,3.821377586974316065e-01
1.262951912498409268e-01,3.821775736051267192e-01
1.420820889060710468e-01,3.822225969378469923e-01
1.578689865623011668e-01,3.822728103226334384e-01
1.736558842185312868e-01,3.823281916850236328e-01
1.894427818747613790e-01,3.823887156779258167e-01
2.052296795309914990e-01,3.824543539518282520e-01
2.210165771872216189e-01,3.825250753383381275e-01
2.368034748434517389e-01,3.826008459841280240e-01
2.525903724996818589e-01,3.826816294553317399e-01
2.683772701559119511e-01,3.827673868240719091e-01
2.841641678121420989e-01,3.828580767440181165e-01
2.999510654683721911e-01,3.829536555190689584e-01
3.157379631246023388e-01,3.830540771680264189e-01
3.315248607808324310e-01,3.831592934867066869e-01
3.473117584370625788e-01,3.832692541089101623e-01
3.630986560932926710e-01,3.833839065668619428e-01
3.788855537495227632e-01,3.835031963515729281e-01
3.946724514057529110e-01,3.836270669735286631e-01
4.104593490619830032e-01,3.837554600238126112e-01
4.262462467182131509e-01,3.838883152358570916e-01
4.420331443744432431e-01,3.840255705478627379e-01
4.578200420306733909e-01,3.841671621658275249e-01
4.736069396869034831e-01,3.843130246272930539e-01
4.893938373431336308e-01,3.844630908655857771e-01
5.051807349993637786e-01,3.846172922747619349e-01
5.209676326555938708e-01,3.847755587749882578e-01
5.367545303118239630e-01,3.849378188783356136e-01
5.525414279680541663e-01,3.851039997548387772e-01
5.683283256242842585e-01,3.852740272989285120e-01
5.841152232805143507e-01,3.854478261959490837e-01
5.999021209367444429e-01,3.856253199888113881e-01
6.156890185929746462e-01,3.858064311444638350e-01
6.314759162492047384e-01,3.859910811204377290e-01
6.472628139054348306e-01,3.861791904310311607e-01
6.630497115616649229e-01,3.863706787132639708e-01
6.788366092178950151e-01,3.865654647925783616e-01
6.946235068741252183e-01,3.867634667478775379e-01
7.104104045303553105e-01,3.869646019761343592e-01
7.261973021865854028e-01,3.871687872563468469e-01
7.419841998428154950e-01,3.873759388127089309e-01
7.577710974990455872e-01,3.875859723771860610e-01
7.735579951552757905e-01,3.877988032510095717e-01
7.893448928115058827e-01,3.880143463655387759e-01
8.051317904677359749e-01,3.882325163418263725e-01
8.209186881239660671e-01,3.884532275494719245e-01
8.367055857801962704e-01,3.886763941641622200e-01
8.524924834364263626e-01,3.889019302240756537e-01
8.682793810926564548e-01,3.891297496852646476e-01
8.840662787488865471e-01,3.893597664756092147e-01
8.998531764051166393e-01,3.895918945475979056e-01
9.156400740613468425e-01,3.898260479297411263e-01
9.314269717175769348e-01,3.900621407766631799e-01
9.472138693738070270e-01,3.903000874178924051e-01
9.630007670300371192e-01,3.905398024050533157e-01
9.787876646862673224e-01,3.907812005577567804e-01
9.945745623424974147e-01,3.910241970080633456e-01
1.010361459998727396e+00,3.912687072435048208e-01
1.026148357654957488e+00,3.915146471484613477e-01
1.041935255311187580e+00,3.917619330442460024e-01
1.057722152967417673e+00,3.920104817275711362e-01
1.073509050623647765e+00,3.922602105075925216e-01
1.089295948279878079e+00,3.925110372413782578e-01
1.105082845936108171e+00,3.927628803679401037e-01
1.120869743592338263e+00,3.930156589407806100e-01
1.136656641248568356e+00,3.932692926589714810e-01
1.152443538904798448e+00,3.935237018966080136e-01
1.168230436561028540e+00,3.937788077310426793e-01
1.184017334217258632e+00,3.940345319695278681e-01
1.199804231873488725e+00,3.942907971742981577e-01
1.215591129529718817e+00,3.945475266864939545e-01
1.231378027185949131e+00,3.948046446484829164e-01
1.247164924842179223e+00,3.950620760250336816e-01
1.262951822498409316e+00,3.953197466228171586e-01
1.278738720154639408e+00,3.955775831088718109e-01
