theta,h
1.000000000000000021e-08,1.746790671219691449e+00
7.873675748345345879e-03,1.746710147624769505e+00
1.574734149669069355e-02,1.746563553742530361e+00
2.362100724503603949e-02,1.746334363258368993e+00
3.149467299338138543e-02,1.746019254297214607e+00
3.936833874172673137e-02,1.745617249700339046e+00
4.724200449007207731e-02,1.745128016171237917e+00
5.511567023841742324e-02,1.744551477867441580e+00
6.298933598676276224e-02,1.743887693829303087e+00
7.086300173510810818e-02,1.743136808756151845e+00
7.873666748345345412e-02,1.742299029838255686e+00
8.661033323179880006e-02,1.741374614530502019e+00
9.448399898014414600e-02,1.740363863488138430e+00
1.023576647284894919e-01,1.739267116155992277e+00
1.102313304768348379e-01,1.738084747811965425e+00
1.181049962251801838e-01,1.736817167449775434e+00
1.259786619735255297e-01,1.735464816165831259e+00
1.338523277218708896e-01,1.734028165858079396e+00
1.417259934702162216e-01,1.732507718123280416e+00
1.495996592185615537e-01,1.730904003282796699e+00
1.574733249669069135e-01,1.729217579493171009e+00
1.653469907152522733e-01,1.727449031912809962e+00
1.732206564635976054e-01,1.725598971907378099e+00
1.810943222119429374e-01,1.723668036281480687e+00
1.889679879602882973e-01,1.721656886529157715e+00
1.968416537086336571e-01,1.719566208098191717e+00
2.047153194569789891e-01,1.717396709665495624e+00
2.125889852053243212e-01,1.715149122421607997e+00
2.204626509536696810e-01,1.712824199363314204e+00
2.283363167020150408e-01,1.710422714594946880e+00
2.362099824503603729e-01,1.707945462637462830e+00
2.440836481987057049e-01,1.705393257746608437e+00
2.519573139470510648e-01,1.702766933240661640e+00
2.598309796953964246e-01,1.700067340838121055e+00
2.677046454437417844e-01,1.697295350006480019e+00
2.755783111920870887e-01,1.694451847323127147e+00
2.834519769404324485e-01,1.691537735848523960e+00
2.913256426887778083e-01,1.688553934512933230e+00
2.991993084371231126e-01,1.685501377517239607e+00
3.070729741854684725e-01,1.682381013748468934e+00
3.149466399338138323e-01,1.679193806210634854e+00
3.228203056821591921e-01,1.675940731471169842e+00
3.306939714305045519e-01,1.672622779123734249e+00
3.385676371788498562e-01,1.669240951267336293e+00
3.464413029271952160e-01,1.665796262002264827e+00
3.543149686755405758e-01,1.662289736942792917e+00
3.621886344238858801e-01,1.658722412746750363e+00
3.700623001722312400e-01,1.655095336662148808e+00
3.779359659205765998e-01,1.651409566090608294e+00
3.858096316689219596e-01,1.647666168167452261e+00
3.936832974172673194e-01,1.643866219358107061e+00
4.015569631656126237e-01,1.640010805070997613e+00
4.094306289139579835e-01,1.636101019286262614e+00
4.173042946623033433e-01,1.632137964199848801e+00
4.251779604106486476e-01,1.628122749882697118e+00
4.330516261589940075e-01,1.624056493954607161e+00
4.409252919073393673e-01,1.619940321272357986e+00
4.487989576556847271e-01,1.615775363631135608e+00
4.566726234040300869e-01,1.611562759479150619e+00
4.645462891523753912e-01,1.607303653644710062e+00
4.724199549007207510e-01,1.602999197074942206e+00
4.802936206490661109e-01,1.598650546585788756e+00
4.881672863974114152e-01,1.594258864622675853e+00
4.960409521457567750e-01,1.589825319030741646e+00
5.039146178941021903e-01,1.585351082834710823e+00
5.117882836424475501e-01,1.580837334027074270e+00
5.196619493907929099e-01,1.576285255364210602e+00
5.275356151391382697e-01,1.571696034169746126e+00
5.354092808874836296e-01,1.567070862144527066e+00
5.432829466358288784e-01,1.562410935182362293e+00
5.511566123841742382e-01,1.557717453191209467e+00
5.590302781325195980e-01,1.552991619918779431e+00
5.669039438808649578e-01,1.548234642782203130e+00
5.747776096292103176e-01,1.543447732701036745e+00
5.826512753775556774e-01,1.538632103932953132e+00
5.905249411259010373e-01,1.533788973911470954e+00
5.983986068742462860e-01,1.528919563085502586e+00
6.062722726225916459e-01,1.524025094759616117e+00
6.141459383709370057e-01,1.519106794934700577e+00
6.220196041192823655e-01,1.514165892148755299e+00
6.298932698676277253e-01,1.509203617316773327e+00
