theta,h
1.000000000000000021e-08,4.999999999827137165e-01
1.578690765623011819e-02,4.999999999857932531e-01
3.157380531246023470e-02,4.999999999869697564e-01
4.736070296869034774e-02,4.999999999876454937e-01
6.314760062492046078e-02,4.999999999881349910e-01
7.893449828115058076e-02,4.999999999885015312e-01
9.472139593738068686e-02,4.999999999888014024e-01
1.105082935936108068e-01,4.999999999890416547e-01
1.262951912498409268e-01,4.999999999892323910e-01
1.420820889060710468e-01,4.999999999893751101e-01
1.578689865623011668e-01,4.999999999894867986e-01
1.736558842185312868e-01,4.999999999895882175e-01
1.894427818747613790e-01,4.999999999896694858e-01
2.052296795309914990e-01,4.999999999897357106e-01
2.210165771872216189e-01,4.999999999898100955e-01
2.368034748434517389e-01,4.999999999898874226e-01
2.525903724996818589e-01,4.999999999899537029e-01
2.683772701559119511e-01,4.999999999899964465e-01
2.841641678121420989e-01,4.999999999900265890e-01
2.999510654683721911e-01,4.999999999900580638e-01
3.157379631246023388e-01,4.999999999900798242e-01
3.315248607808324310e-01,4.999999999900964220e-01
3.473117584370625788e-01,4.999999999901310055e-01
3.630986560932926710e-01,4.999999999901638681e-01
3.788855537495227632e-01,4.999999999901874603e-01
3.946724514057529110e-01,4.999999999901939551e-01
4.104593490619830032e-01,4.999999999902078884e-01
4.262462467182131509e-01,4.999999999902114967e-01
4.420331443744432431e-01,4.999999999902047243e-01
4.578200420306733909e-01,4.999999999902041137e-01
4.736069396869034831e-01,4.999999999902045023e-01
4.893938373431336308e-01,4.999999999901988956e-01
5.051807349993637786e-01,4.999999999901887371e-01
5.209676326555938708e-01,4.999999999902008385e-01
5.367545303118239630e-01,4.999999999901983960e-01
5.525414279680541663e-01,4.999999999901843517e-01
5.683283256242842585e-01,4.999999999901836856e-01
5.841152232805143507e-01,4.999999999901846848e-01
5.999021209367444429e-01,4.999999999901735825e-01
6.156890185929746462e-01,4.999999999901566516e-01
6.314759162492047384e-01,4.999999999901440506e-01
6.472628139054348306e-01,4.999999999901227343e-01
6.630497115616649229e-01,4.999999999900853753e-01
6.788366092178950151e-01,4.999999999900323622e-01
6.946235068741252183e-01,4.999999999899767400e-01
7.104104045303553105e-01,4.999999999899352177e-01
7.261973021865854028e-01,4.999999999898792069e-01
7.419841998428154950e-01,4.999999999898427916e-01
7.577710974990455872e-01,4.999999999898216418e-01
7.735579951552757905e-01,4.999999999897952740e-01
7.893448928115058827e-01,4.999999999897679070e-01
8.051317904677359749e-01,4.999999999897641878e-01
