theta,h
1.000000000000000021e-08,1.997717492229928338e+00
3.173326892514943126e-02,1.997718738278143613e+00
6.346652785029885391e-02,1.997721004959819080e+00
9.519978677544828349e-02,1.997724542640266998e+00
1.269330457005977131e-01,1.997729393758181926e+00
1.586663046257471565e-01,1.997735560806324084e+00
1.903995635508965723e-01,1.997743032621051240e+00
2.221328224760459880e-01,1.997751790319105769e+00
2.538660814011954314e-01,1.997761809146246126e+00
2.855993403263448749e-01,1.997773059188276301e+00
3.173325992514943183e-01,1.997785505681737073e+00
3.490658581766437063e-01,1.997799109161924713e+00
3.807991171017931498e-01,1.997813825540472044e+00
4.125323760269425932e-01,1.997829606158361360e+00
4.442656349520919812e-01,1.997846397833848098e+00
4.759988938772414246e-01,1.997864142922139763e+00
5.077321528023909236e-01,1.997882779392336161e+00
5.394654117275403671e-01,1.997902240930162998e+00
5.711986706526898105e-01,1.997922457069698954e+00
6.029319295778392540e-01,1.997943353358847318e+00
6.346651885029886975e-01,1.997964851559446586e+00
6.663984474281380299e-01,1.997986869883088712e+00
6.981317063532874734e-01,1.998009323264317683e+00
7.298649652784369168e-01,1.998032123670053117e+00
7.615982242035863603e-01,1.998055180444440415e+00
7.933314831287358038e-01,1.998078400686918998e+00
8.250647420538852472e-01,1.998101689660203739e+00
8.567980009790346907e-01,1.998124951225909385e+00
8.885312599041840231e-01,1.998148088303782322e+00
9.202645188293334666e-01,1.998171003351142838e+00
9.519977777544829101e-01,1.998193598856171427e+00
9.837310366796323535e-01,1.998215777842883512e+00
1.015464295604781686e+00,1.998237444380012606e+00
1.047197554529931018e+00,1.998258504092042420e+00
1.078930813455080573e+00,1.998278864665721688e+00
1.110664072380229905e+00,1.998298436348455498e+00
1.142397331305379460e+00,1.998317132433914622e+00
1.174130590230528792e+00,1.998334869730804098e+00
1.205863849155678347e+00,1.998351569011469264e+00
1.237597108080827679e+00,1.998367155437689835e+00
1.269330367005977234e+00,1.998381558959838822e+00
1.301063625931126566e+00,1.998394714688849216e+00
1.332796884856275899e+00,1.998406563237132616e+00
1.364530143781425453e+00,1.998417051027962410e+00
1.396263402706574785e+00,1.998426130571823389e+00
1.427996661631724340e+00,1.998433760710110363e+00
1.459729920556873672e+00,1.998439906824251544e+00
1.491463179482023227e+00,1.998444541009758879e+00
1.523196438407172559e+00,1.998447642216064191e+00
1.554929697332321892e+00,1.998449196351171464e+00
1.586662956257471446e+00,1.998449196351419044e+00
1.618396215182620779e+00,1.998447642216846010e+00
1.650129474107770333e+00,1.998444541010893527e+00
1.681862733032919666e+00,1.998439906825593138e+00
1.713595991958069220e+00,1.998433760711622487e+00
1.745329250883218553e+00,1.998426130573364157e+00
1.777062509808367885e+00,1.998417051029795388e+00
1.808795768733517439e+00,1.998406563239426559e+00
1.840529027658666772e+00,1.998394714691349217e+00
1.872262286583816326e+00,1.998381558962506466e+00
1.903995545508965659e+00,1.998367155440727849e+00
1.935728804434115213e+00,1.998351569015341278e+00
1.967462063359264546e+00,1.998334869735291619e+00
1.999195322284414100e+00,1.998317132438862886e+00
2.030928581209563433e+00,1.998298436353827423e+00
2.062661840134712765e+00,1.998278864671614086e+00
2.094395099059862098e+00,1.998258504098556543e+00
2.126128357985011874e+00,1.998237444387227946e+00
2.157861616910161207e+00,1.998215777850961272e+00
2.189594875835310539e+00,1.998193598864924647e+00
2.221328134760459871e+00,1.998171003360451170e+00
2.253061393685609648e+00,1.998148088314085191e+00
2.284794652610758980e+00,1.998124951236979641e+00
2.316527911535908313e+00,1.998101689672131531e+00
2.348261170461057645e+00,1.998078400699299095e+00
2.379994429386206978e+00,1.998055180457285251e+00
2.411727688311356754e+00,1.998032123683205707e+00
2.443460947236506087e+00,1.998009323278227001e+00
2.475194206161655419e+00,1.997986869897976359e+00
2.506927465086804752e+00,1.997964851575077194e+00
2.538660724011954528e+00,1.997943353374894704e+00
2.570393982937103861e+00,1.997922457086191539e+00
2.602127241862253193e+00,1.997902240947385888e+00
2.633860500787402525e+00,1.997882779410179888e+00
2.665593759712551858e+00,1.997864142940066312e+00
2.697327018637701634e+00,1.997846397851310574e+00
2.729060277562850967e+00,1.997829606175894890e+00
2.760793536488000299e+00,1.997813825558438783e+00
2.792526795413149632e+00,1.997799109180233623e+00
2.824260054338298964e+00,1.997785505700579112e+00
2.855993313263448741e+00,1.997773059207726520e+00
2.887726572188598073e+00,1.997761809166856306e+00
2.919459831113747406e+00,1.997751790340967837e+00
2.951193090038896738e+00,1.997743032644651251e+00
2.982926348964046515e+00,1.997735560832031965e+00
3.014659607889195847e+00,1.997729393786535468e+00
3.046392866814345179e+00,1.997724542672917547e+00
3.078126125739494512e+00,1.997721004999027050e+00
3.109859384664643844e+00,1.997718738327561638e+00
3.141592643589793177e+00,1.997717492304719844e+00
