theta,h
1.000000000000000021e-08,5.000336591811437303e-01
1.578690765623011819e-02,5.000336613804696739e-01
3.157380531246023470e-02,5.000336798095892377e-01
4.736070296869034774e-02,5.000336832338425630e-01
6.314760062492046078e-02,5.000337200468433219e-01
7.893449828115058076e-02,5.000337582981140283e-01
9.472139593738068686e-02,5.000337822890392747e-01
1.105082935936108068e-01,5.000338021407483291e-01
1.262951912498409268e-01,5.000337628488310537e-01
1.420820889060710468e-01,5.000337249823862962e-01
1.578689865623011668e-01,5.000337089895423581e-01
1.736558842185312868e-01,5.000336924563928420e-01
1.894427818747613790e-01,5.000336888606211616e-01
2.052296795309914990e-01,5.000337056717845119e-01
2.210165771872216189e-01,5.000337469531139778e-01
2.368034748434517389e-01,5.000338108111054281e-01
2.525903724996818589e-01,5.000338674756928947e-01
2.683772701559119511e-01,5.000339066293912893e-01
2.841641678121420989e-01,5.000339609620768622e-01
2.999510654683721911e-01,5.000339791643325649e-01
3.157379631246023388e-01,5.000340358413978281e-01
3.315248607808324310e-01,5.000340905598097407e-01
3.473117584370625788e-01,5.000341693247107866e-01
3.630986560932926710e-01,5.000342263313811708e-01
3.788855537495227632e-01,5.000342698351638582e-01
3.946724514057529110e-01,5.000342996616445879e-01
4.104593490619830032e-01,5.000343318713339480e-01
4.262462467182131509e-01,5.000343640737963113e-01
4.420331443744432431e-01,5.000343561805831172e-01
4.578200420306733909e-01,5.000343482245909188e-01
4.736069396869034831e-01,5.000343118563855827e-01
4.893938373431336308e-01,5.000342874599077447e-01
5.051807349993637786e-01,5.000342304782146030e-01
5.209676326555938708e-01,5.000341942633300674e-01
5.367545303118239630e-01,5.000341801781337248e-01
5.525414279680541663e-01,5.000341712401554783e-01
5.683283256242842585e-01,5.000341863707508105e-01
5.841152232805143507e-01,5.000342225476176461e-01
5.999021209367444429e-01,5.000342740187350143e-01
6.156890185929746462e-01,5.000343099097200872e-01
6.314759162492047384e-01,5.000343701563771948e-01
6.472628139054348306e-01,5.000344240514510430e-01
6.630497115616649229e-01,5.000344495214434914e-01
6.788366092178950151e-01,5.000344826316517333e-01
6.946235068741252183e-01,5.000345115808768615e-01
7.104104045303553105e-01,5.000345165365116529e-01
7.261973021865854028e-01,5.000345024075536493e-01
7.419841998428154950e-01,5.000345002150138329e-01
7.577710974990455872e-01,5.000344943556177535e-01
7.735579951552757905e-01,5.000344531987026553e-01
7.893448928115058827e-01,5.000343845699133372e-01
8.051317904677359749e-01,5.000343298840533857e-01
8.209186881239660671e-01,5.000342928527392594e-01
8.367055857801962704e-01,5.000342538862379005e-01
8.524924834364263626e-01,5.000342488141650277e-01
8.682793810926564548e-01,5.000342107673745318e-01
8.840662787488865471e-01,5.000341739909802685e-01
8.998531764051166393e-01,5.000341240690009403e-01
9.156400740613468425e-01,5.000341081933666887e-01
9.314269717175769348e-01,5.000341148220692755e-01
9.472138693738070270e-01,5.000340908079367042e-01
9.630007670300371192e-01,5.000340936989223772e-01
9.787876646862673224e-01,5.000341045104198523e-01
9.945745623424974147e-01,5.000341000775492262e-01
1.010361459998727396e+00,5.000340414147758095e-01
1.026148357654957488e+00,5.000339690812690696e-01
1.041935255311187580e+00,5.000339188089678588e-01
1.057722152967417673e+00,5.000338882325594536e-01
1.073509050623647765e+00,5.000338820730872991e-01
1.089295948279878079e+00,5.000338554543457548e-01
1.105082845936108171e+00,5.000338595864243230e-01
1.120869743592338263e+00,5.000338804445549901e-01
1.136656641248568356e+00,5.000338941527607828e-01
1.152443538904798448e+00,5.000339252593065664e-01
1.168230436561028540e+00,5.000339622997179712e-01
1.184017334217258632e+00,5.000340379949981262e-01
1.199804231873488725e+00,5.000341112555940493e-01
1.215591129529718817e+00,5.000341555722429554e-01
1.231378027185949131e+00,5.000342407194525718e-01
1.247164924842179223e+00,5.000343816745090875e-01
1.262951822498409316e+00,5.000345336319962364e-01
1.278738720154639408e+00,5.000346410684349818e-01
1.294525617810869500e+00,5.000347160847445904e-01
1.310312515467099592e+00,5.000347999525930343e-01
1.326099413123329684e+00,5.000348730607163672e-01
1.341886310779559777e+00,5.000349185436263610e-01
1.357673208435789869e+00,5.000349489400722769e-01
1.373460106092020183e+00,5.000349975996621898e-01
1.389247003748250275e+00,5.000350743465771242e-01
1.405033901404480368e+00,5.000351293752373083e-01
1.420820799060710460e+00,5.000351576833808043e-01
1.436607696716940552e+00,5.000351585142949196e-01
1.452394594373170644e+00,5.000351536129430396e-01
1.468181492029400736e+00,5.000351358040650007e-01
1.483968389685630829e+00,5.000351412823728081e-01
1.499755287341860921e+00,5.000351639291154004e-01
1.515542184998091013e+00,5.000351690650570724e-01
1.531329082654321327e+00,5.000351650191718900e-01
1.547115980310551420e+00,5.000351754180956121e-01
1.562902877966781512e+00,5.000351845366054482e-01
1.578689775623011604e+00,5.000351629064616610e-01
1.594476673279241696e+00,5.000351784033374436e-01
1.610263570935471789e+00,5.000352134348651223e-01
1.626050468591701881e+00,5.000352520025601599e-01
1.641837366247931973e+00,5.000353124787932924e-01
1.657624263904162065e+00,5.000353367394521076e-01
1.673411161560392379e+00,5.000353113172413266e-01
1.689198059216622472e+00,5.000352825569670534e-01
1.704984956872852564e+00,5.000352198976258933e-01
1.720771854529082656e+00,5.000351302154093514e-01
1.736558752185312748e+00,5.000349929232247304e-01
1.752345649841542841e+00,5.000348725948920992e-01
1.768132547497772933e+00,5.000347874502086842e-01
1.783919445154003025e+00,5.000347006596951305e-01
1.799706342810233117e+00,5.000346144098993806e-01
1.815493240466463432e+00,5.000345446105188829e-01
1.831280138122693524e+00,5.000344889990215869e-01
1.847067035778923616e+00,5.000344361276506389e-01
1.862853933435153708e+00,5.000343547910828246e-01
1.878640831091383800e+00,5.000342894615201761e-01
1.894427728747613893e+00,5.000342469087065700e-01
1.910214626403843985e+00,5.000342393847935218e-01
1.926001524060074077e+00,5.000342513715675397e-01
1.941788421716304169e+00,5.000342667326146406e-01
1.957575319372534484e+00,5.000343051350224499e-01
1.973362217028764576e+00,5.000343905840187730e-01
1.989149114684994668e+00,5.000344893209830444e-01
2.004936012341224760e+00,5.000346034577090037e-01
2.020722909997454853e+00,5.000347135619678252e-01
2.036509807653684945e+00,5.000348344450719074e-01
