theta,h
1.000000000000000021e-08,4.141502991954580937e-01
1.578690765623011819e-02,4.141475262011873881e-01
3.157380531246023470e-02,4.141424776776090333e-01
4.736070296869034774e-02,4.141345832376829295e-01
6.314760062492046078e-02,4.141237262805422259e-01
7.893449828115058076e-02,4.141098700445616787e-01
9.472139593738068686e-02,4.140929990488473322e-01
1.105082935936108068e-01,4.140731057965160167e-01
1.262951912498409268e-01,4.140501865638998580e-01
1.420820889060710468e-01,4.140242397167347987e-01
1.578689865623011668e-01,4.139952649248981875e-01
1.736558842185312868e-01,4.139632627553295197e-01
1.894427818747613790e-01,4.139282344440548544e-01
2.052296795309914990e-01,4.138901817608990896e-01
2.210165771872216189e-01,4.138491069255377797e-01
2.368034748434517389e-01,4.138050125536938406e-01
2.525903724996818589e-01,4.137579016218402295e-01
2.683772701559119511e-01,4.137077774437262212e-01
2.841641678121420989e-01,4.136546436547531846e-01
2.999510654683721911e-01,4.135985042017071844e-01
3.157379631246023388e-01,4.135393633362860477e-01
3.315248607808324310e-01,4.134772256113237732e-01
3.473117584370625788e-01,4.134120958791192013e-01
3.630986560932926710e-01,4.133439792912479982e-01
3.788855537495227632e-01,4.132728812995800638e-01
3.946724514057529110e-01,4.131988076582899794e-01
4.104593490619830032e-01,4.131217644266669264e-01
4.262462467182131509e-01,4.130417579725458310e-01
4.420331443744432431e-01,4.129587949762795751e-01
4.578200420306733909e-01,4.128728824352968507e-01
4.736069396869034831e-01,4.127840276689568322e-01
4.893938373431336308e-01,4.126922383238924019e-01
5.051807349993637786e-01,4.125975223796542468e-01
5.209676326555938708e-01,4.124998881547032314e-01
5.367545303118239630e-01,4.123993443126967029e-01
5.525414279680541663e-01,4.122958998690285926e-01
5.683283256242842585e-01,4.121895641977094127e-01
5.841152232805143507e-01,4.120803470384282741e-01
5.999021209367444429e-01,4.119682585039234346e-01
6.156890185929746462e-01,4.118533090875715064e-01
6.314759162492047384e-01,4.117355096711780571e-01
6.472628139054348306e-01,4.116148715330225638e-01
6.630497115616649229e-01,4.114914063561302404e-01
6.788366092178950151e-01,4.113651262367459815e-01
6.946235068741252183e-01,4.112360436929712315e-01
7.104104045303553105e-01,4.111041716736706930e-01
7.261973021865854028e-01,4.109695235675177027e-01
7.419841998428154950e-01,4.108321132122638164e-01
7.577710974990455872e-01,4.106919549041930795e-01
7.735579951552757905e-01,4.105490634077469947e-01
7.893448928115058827e-01,4.104034539653185210e-01
8.051317904677359749e-01,4.102551423072344772e-01
8.209186881239660671e-01,4.101041446618707842e-01
8.367055857801962704e-01,4.099504777659712107e-01
8.524924834364263626e-01,4.097941588750888542e-01
8.682793810926564548e-01,4.096352057741914909e-01
8.840662787488865471e-01,4.094736367883898276e-01
8.998531764051166393e-01,4.093094707938058074e-01
9.156400740613468425e-01,4.091427272285816930e-01
9.314269717175769348e-01,4.089734261040250951e-01
9.472138693738070270e-01,4.088015880158024640e-01
9.630007670300371192e-01,4.086272341553289777e-01
9.787876646862673224e-01,4.084503863211825792e-01
9.945745623424974147e-01,4.082710669306445772e-01
1.010361459998727396e+00,4.080892990312860458e-01
1.026148357654957488e+00,4.079051063126933330e-01
1.041935255311187580e+00,4.077185131181756961e-01
1.057722152967417673e+00,4.075295444565763536e-01
1.073509050623647765e+00,4.073382260141017452e-01
1.089295948279878079e+00,4.071445841661857634e-01
1.105082845936108171e+00,4.069486459893850716e-01
1.120869743592338263e+00,4.067504392732410601e-01
1.136656641248568356e+00,4.065499925321834906e-01
1.152443538904798448e+00,4.063473350173653076e-01
1.168230436561028540e+00,4.061424967285274246e-01
1.184017334217258632e+00,4.059355084257390001e-01
1.199804231873488725e+00,4.057264016411422647e-01
1.215591129529718817e+00,4.055152086905540187e-01
1.231378027185949131e+00,4.053019626850279944e-01
1.247164924842179223e+00,4.050866975422777183e-01
1.262951822498409316e+00,4.048694479979975114e-01
1.278738720154639408e+00,4.046502496169896435e-01
1.294525617810869500e+00,4.044291388041743041e-01
1.310312515467099592e+00,4.042061528153942929e-01
1.326099413123329684e+00,4.039813297680052151e-01
1.341886310779559777e+00,4.037547086512717209e-01
1.357673208435789869e+00,4.035263293364810822e-01
1.373460106092020183e+00,4.032962325868404418e-01
1.389247003748250275e+00,4.030644600670069688e-01
1.405033901404480368e+00,4.028310543523964671e-01
1.420820799060710460e+00,4.025960589380981891e-01
1.436607696716940552e+00,4.023595182474474230e-01
1.452394594373170644e+00,4.021214776402138313e-01
1.468181492029400736e+00,4.018819834203772312e-01
1.483968389685630829e+00,4.016410828434754943e-01
1.499755287341860921e+00,4.013988241234705545e-01
1.515542184998091013e+00,4.011552564391587250e-01
1.531329082654321327e+00,4.009104299400054194e-01
1.547115980310551420e+00,4.006643957515031995e-01
1.562902877966781512e+00,4.004172059798893901e-01
1.578689775623011604e+00,4.001689137163321197e-01
1.594476673279241696e+00,3.999195730404090376e-01
1.610263570935471789e+00,3.996692390229759084e-01
1.626050468591701881e+00,3.994179677283218877e-01
1.641837366247931973e+00,3.991658162155818368e-01
1.657624263904162065e+00,3.989128425394128374e-01
1.673411161560392379e+00,3.986591057498759527e-01
1.689198059216622472e+00,3.984046658915056938e-01
1.704984956872852564e+00,3.981495840015142340e-01
1.720771854529082656e+00,3.978939221071050580e-01
1.736558752185312748e+00,3.976377432219000418e-01
1.752345649841542841e+00,3.973811113413851515e-01
1.768132547497772933e+00,3.971240914373914688e-01
1.783919445154003025e+00,3.968667494515707439e-01
1.799706342810233117e+00,3.966091522877943643e-01
1.815493240466463432e+00,3.963513678035183729e-01
1.831280138122693524e+00,3.960934648000064007e-01
1.847067035778923616e+00,3.958355130114357134e-01
1.862853933435153708e+00,3.955775830928279224e-01
1.878640831091383800e+00,3.953197466067850385e-01
1.894427728747613893e+00,3.950620760089740835e-01
1.910214626403843985e+00,3.948046446324087744e-01
1.926001524060074077e+00,3.945475266703997730e-01
1.941788421716304169e+00,3.942907971582326199e-01
1.957575319372534484e+00,3.940345319535001889e-01
1.973362217028764576e+00,3.937788077150518595e-01
1.989149114684994668e+00,3.935237018806200804e-01
2.004936012341224760e+00,3.932692926430013114e-01
2.020722909997454853e+00,3.930156589248520738e-01
2.036509807653684945e+00,3.927628803520293865e-01
2.052296705309915037e+00,3.925110372254932423e-01
2.068083602966145129e+00,3.922602104917148891e-01
2.083870500622375221e+00,3.920104817116663032e-01
2.099657398278605314e+00,3.917619330282799961e-01
2.115444295934835406e+00,3.915146471324191246e-01
2.131231193591065498e+00,3.912687072273763889e-01
2.147018091247295590e+00,3.910241969918570315e-01
2.162804988903525683e+00,3.907812005414720846e-01
2.178591886559756219e+00,3.905398023887136083e-01
2.194378784215986311e+00,3.903000874015088995e-01
2.210165681872216403e+00,3.900621407602152813e-01
2.225952579528446496e+00,3.898260479132056311e-01
2.241739477184676588e+00,3.895918945309934101e-01
2.257526374840906680e+00,3.893597664589438234e-01
2.273313272497136772e+00,3.891297496685425239e-01
2.289100170153366864e+00,3.889019302073005724e-01
2.304887067809596957e+00,3.886763941473448392e-01
2.320673965465827049e+00,3.884532275326448847e-01
2.336460863122057141e+00,3.882325163249878974e-01
2.352247760778287233e+00,3.880143463486967481e-01
2.368034658434517326e+00,3.877988032341848079e-01
2.383821556090747418e+00,3.875859723603478635e-01
2.399608453746977510e+00,3.873759387958664591e-01
2.415395351403207602e+00,3.871687872394765084e-01
2.431182249059437694e+00,3.869646019592422048e-01
2.446969146715667787e+00,3.867634667309435836e-01
2.462756044371898323e+00,3.865654647756194828e-01
2.478542942028128415e+00,3.863706786963152506e-01
2.494329839684358507e+00,3.861791904141240739e-01
2.510116737340588600e+00,3.859910811036085798e-01
2.525903634996818692e+00,3.858064311276971914e-01
2.541690532653048784e+00,3.856253199720829361e-01
2.557477430309278876e+00,3.854478261792600446e-01
2.573264327965508969e+00,3.852740272822790524e-01
2.589051225621739061e+00,3.851039997382681990e-01
2.604838123277969153e+00,3.849378188618713947e-01
2.620625020934199245e+00,3.847755587586428327e-01
2.636411918590429337e+00,3.846172922585094911e-01
2.652198816246659430e+00,3.844630908494239274e-01
2.667985713902889522e+00,3.843130246112143600e-01
2.683772611559119614e+00,3.841671621498105593e-01
2.699559509215349706e+00,3.840255705318624813e-01
2.715346406871579799e+00,3.838883152198803717e-01
2.731133304527809891e+00,3.837554600078708633e-01
2.746920202184040427e+00,3.836270669576563597e-01
2.762707099840270519e+00,3.835031963358023765e-01
2.778493997496500612e+00,3.833839065512206212e-01
2.794280895152730704e+00,3.832692540934265479e-01
2.810067792808960796e+00,3.831592934713984322e-01
2.825854690465190888e+00,3.830540771529198918e-01
2.841641588121420980e+00,3.829536555041713197e-01
2.857428485777651073e+00,3.828580767293343623e-01
2.873215383433881165e+00,3.827673868096424514e-01
2.889002281090111257e+00,3.826816294411742314e-01
2.904789178746341349e+00,3.826008459702462394e-01
2.920576076402571442e+00,3.825250753247090296e-01
